date,samsung,kospi200,samsung_dividends yields(annualized),delta_samsung,delta_kospi,vol_samsung,vol_kospi,corr,zero_rate_3M,zero_rate_6M,zero_rate_1Y,zero_rate_2Y,zero_rate_3Y,pnl
2021-04-01,"82,900",419.42,1.84,,,,,,,,,,,
2021-04-02,"84,800",423.74,1.84,,,,,,,,,,,0
2021-04-05,"85,400",424.85,1.84,,,,,,,,,,,0
2021-04-06,"86,000",425.88,1.84,,,,,,,,,,,0
2021-04-07,"85,600",426.7,1.84,,,,,,,,,,,0
2021-04-08,"84,700",426.86,1.84,,,,,,,,,,,0
2021-04-09,"83,600",424.3,1.84,,,,,,,,,,,0
2021-04-12,"83,200",424.22,1.84,,,,,,,,,,,0
2021-04-13,"84,000",429.08,1.84,,,,,,,,,,,0
2021-04-14,"84,000",430.71,1.84,,,,,,,,,,,0
2021-04-15,"84,100",432.66,1.84,,,,,,,,,,,0
2021-04-16,"83,900",432.43,1.84,,,,,,,,,,,0
2021-04-19,"83,300",431.96,1.84,,,,,,,,,,,0
2021-04-20,"83,900",434.6,1.84,,,,,,,,,,,0
2021-04-21,"82,600",426.75,1.84,,,,,,,,,,,0
2021-04-22,"82,400",427.37,1.84,,,,,,,,,,,0
2021-04-23,"82,800",428.34,1.84,,,,,,,,,,,0
2021-04-26,"83,500",432.36,1.84,,,,,,,,,,,0
2021-04-27,"82,900",432.14,1.84,,,,,,,,,,,0
2021-04-28,"82,100",427.48,1.84,,,,,,,,,,,0
2021-04-29,"81,700",426.28,1.84,,,,,,,,,,,0
2021-04-30,"81,500",422.36,1.84,,,,,,,,,,,0
2021-05-03,"81,700",420.36,1.84,,,,,,,,,,,0
2021-05-04,"82,600",423.57,1.84,,,,,,,,,,,0
2021-05-06,"82,300",426.64,1.84,,,,,,,,,,,0
2021-05-07,"81,900",428.56,1.84,,,,,,,,,,,0
2021-05-10,"83,200",435.63,1.84,,,,,,,,,,,0
2021-05-11,"81,200",428.77,1.84,,,,,,,,,,,0
2021-05-12,"80,000",421.86,1.84,,,,,,,,,,,0
2021-05-13,"78,500",416.07,1.84,,,,,,,,,,,0
2021-05-14,"80,100",420.17,1.84,,,,,,,,,,,0
2021-05-17,"79,600",418.27,1.84,,,,,,,,,,,0
2021-05-18,"79,600",423.09,1.84,,,,,,,,,,,0
2021-05-20,"79,500",421.68,1.84,,,,,,,,,,,0
2021-05-21,"80,100",422.08,1.84,,,,,,,,,,,0
2021-05-24,"79,700",420.57,1.84,,,,,,,,,,,0
2021-05-25,"79,900",424.35,1.84,,,,,,,,,,,0
2021-05-26,"79,800",423.54,1.84,,,,,,,,,,,0
2021-05-27,"79,600",423,1.84,,,,,,,,,,,0
2021-05-28,"80,100",425.95,1.84,,,,,,,,,,,0
2021-05-31,"80,500",427.91,1.84,,,,,,,,,,,0
2021-06-01,"80,600",430.32,1.84,,,,,,,,,,,0
2021-06-02,"80,800",430.15,1.84,,,,,,,,,,,0
2021-06-03,"82,800",433.87,1.84,,,,,,,,,,,0
2021-06-04,"82,200",432.22,1.84,,,,,,,,,,,0
2021-06-07,"81,900",433.26,1.84,,,,,,,,,,,0
2021-06-08,"81,900",432.88,1.84,,,,,,,,,,,0
2021-06-09,"81,100",428.16,1.84,,,,,,,,,,,0
2021-06-10,"81,000",429.35,1.84,,,,,,,,,,,0
2021-06-11,"81,000",432.78,1.84,,,,,,,,,,,0
2021-06-14,"80,500",433.22,1.84,,,,,,,,,,,0
2021-06-15,"80,900",434.13,1.84,,,,,,,,,,,0
2021-06-16,"81,800",436.96,1.84,,,,,,,,,,,0
2021-06-17,"80,900",434.73,1.84,,,,,,,,,,,0
2021-06-18,"80,500",435.02,1.84,,,,,,,,,,,0
2021-06-21,"79,900",431.46,1.84,,,,,,,,,,,0
