date,price,price_se,delta_kospi_norm,delta_samsung_norm,delta_kospi_mkt,delta_samsung_mkt,hedge_contracts_kospi,hedge_shares_samsung
2021-10-25,9932.558614,4.422403031,954.5293599,2553.377334,2.428827888,0.036269564,9.72E-06,0.036269564
2021-10-26,9999.460397,3.973801503,914.939886,2170.371701,2.328091313,0.030829143,9.31E-06,0.030829143
2021-10-27,9949.994376,4.28228249,1055.207226,2270.829221,2.685005665,0.032256097,1.07E-05,0.032256097
2021-10-28,9960.866039,4.187509108,1062.561865,1879.31606,2.703719759,0.02669483,1.08E-05,0.02669483
2021-10-29,9928.373447,4.422650993,1051.490085,2271.646404,2.675547289,0.032267705,1.07E-05,0.032267705
2021-11-01,9916.852282,4.458816065,1602.692578,2337.905595,4.078098162,0.033208886,1.63E-05,0.033208886
2021-11-02,10017.47293,3.813012725,1386.718894,1171.572743,3.528546805,0.016641658,1.41E-05,0.016641658
2021-11-03,9898.308651,4.55445372,1487.448834,2413.873148,3.784857084,0.034287971,1.51E-05,0.034287971
2021-11-04,9892.040875,4.561854935,1541.820908,2399.883338,3.923208416,0.034089252,1.57E-05,0.034089252
2021-11-05,9902.678109,4.54517786,1652.594792,2207.813204,4.205075807,0.031360983,1.68E-05,0.031360983
2021-11-08,9954.085048,4.27250268,1475.400557,1589.756382,3.754199891,0.022581767,1.50E-05,0.022581767
2021-11-09,9993.503696,4.067905339,719.0208131,1932.709599,1.829569499,0.027453261,7.32E-06,0.027453261
2021-11-10,10006.62961,4.041712879,1031.130269,1418.313338,2.623741141,0.020146496,1.05E-05,0.020146496
2021-11-11,10011.72072,4.023958939,991.0962912,1385.072381,2.521873515,0.019674324,1.01E-05,0.019674324
2021-11-12,10064.11815,3.582563604,831.8960607,1570.643874,2.116783869,0.022310282,8.47E-06,0.022310282
2021-11-15,10094.24857,3.31285084,747.7578966,1301.959973,1.902691849,0.01849375,7.61E-06,0.01849375
2021-11-16,10090.12394,3.323404661,330.3025378,1358.618995,0.840464473,0.019298565,3.36E-06,0.019298565
2021-11-17,10098.08712,3.359265178,286.3866438,1279.510413,0.728719196,0.018174864,2.91E-06,0.018174864
2021-11-18,10090.13243,3.496330631,1183.473682,1072.575359,3.011383414,0.015235445,1.20E-05,0.015235445
2021-11-19,10129.83461,3.068755072,473.3674925,1158.250466,1.204497437,0.016452421,4.82E-06,0.016452421
2021-11-22,10172.55847,2.376404213,730.0178846,546.2565747,1.857551869,0.007759326,7.43E-06,0.007759326
2021-11-23,9906.499668,4.482139348,1088.312358,1854.197136,2.769242642,0.026338027,1.11E-05,0.026338027
2021-11-24,9906.771314,4.482275076,1164.754553,2022.875864,2.963752044,0.028734032,1.19E-05,0.028734032
2021-11-25,9888.823936,4.604612885,1676.499185,1633.394734,4.265901234,0.02320163,1.71E-05,0.02320163
2021-11-26,9827.442332,4.996563088,1529.447868,2320.173952,3.891724855,0.032957016,1.56E-05,0.032957016
2021-11-29,9784.296606,5.237316491,2246.887237,2203.958759,5.717270323,0.031306232,2.29E-05,0.031306232
2021-11-30,9725.790498,5.574616676,2702.31419,2245.729148,6.876117531,0.031899562,2.75E-05,0.031899562
2021-12-01,9822.897516,5.009857104,2744.724624,1170.348995,6.984032123,0.016624275,2.79E-05,0.016624275
2021-12-02,9723.645699,5.50098688,2685.811275,1324.634514,6.834125381,0.018815831,2.73E-05,0.018815831
